자치구,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,0.11019186762893857,0.0948905109489051,0.03571428571428571,0.057873270599525496,0.052078691029477306,88.5593220338983,78.57142857142857,83.33333333333334,50.5252456794307,84.60701658961109,544055.0,942,0.07014972518422644,86.28644389026306
강동구,0.01865868685090653,0.1021897810218978,0.014285714285714287,0.022925385866233043,0.015258589588506188,88.82978723404256,93.33333333333333,100.0,47.62195121951219,87.38414006179197,463998.0,614,0.03466363152265157,93.35163090870441
강북구,0.013553951769054745,0.029197080291970802,0.057142857142857134,0.0,0.012605844527917489,83.01886792452831,80.0,88.88888888888889,62.82051282051282,89.43313153549808,311569.0,588,0.022499946746360033,90.44082084178055
강서구,0.03221263861996128,0.03649635036496351,0.06428571428571428,0.02423159971209981,0.025933235712315105,83.77358490566039,83.33333333333334,90.0,63.351095322676144,85.35787321063395,585901.0,356 ,0.036631907739010795,90.81105173360255
관악구,0.056504136595669774,0.014598540145985403,0.07857142857142857,0.03862660944206009,0.029519747034231023,87.09677419354838,100.0,100.0,51.00942126514132,52.410099464422345,509803.0,331,0.043564092357874964,87.38740058487483
광진구,0.030452385143460655,0.021897810218978103,0.007142857142857143,0.023565164076453496,0.009613548099573443,87.84313725490196,100.0,100.0,52.52403846153846,83.94988066825776,360109.0,175,0.01853435293626457,94.95113280378004
구로구,0.020242914979757085,0.029197080291970802,0.03571428571428571,0.02620424919361288,0.020818743235500096,72.08121827411168,100.0,100.0,57.17526942711287,82.71324863883848,432488.0,415,0.026435454683025317,92.18812338031249
금천구,0.006160887167752156,0.043795620437956206,0.02142857142857143,0.00583797616826167,0.005263046200207976,79.48717948717949,85.71428571428571,100.0,55.35535535535535,89.05506458191707,247835.0,508 ,0.01649722028054989,91.6604975420864
노원구,0.015314205245555362,0.014598540145985403,0.02142857142857143,0.016634233465731882,0.019948642855627006,87.57396449704143,100.0,75.0,46.01139601139601,82.33934350439205,527032.0,386,0.017584838628294214,87.47879192805212
도봉구,0.0,0.0072992700729927005,,0.0021592514594940444,0.00023344156533180657,100.0,100.0,,44.01858304297328,82.82009724473258,327361.0,168,0.0019383926195637104,73.13800487264434
동대문구,0.013906002464354868,0.03649635036496351,0.06428571428571428,0.017593900781062564,0.011905519831922073,88.19875776397515,83.33333333333334,80.0,49.51388888888889,89.51793721973094,357014.0,223,0.02883749754560346,87.39805721446835
동작구,0.025347650061608874,0.0,0.0,0.014954815663903179,0.008658559877761509,53.53982300884957,100.0,100.0,44.1461595824012,83.99754751686082,401572.0,419,0.009792205120654712,85.41085730820464
마포구,0.046822742474916385,0.021897810218978103,0.057142857142857134,0.018740170074374216,0.013178837461004646,82.47126436781609,75.0,88.88888888888889,45.78556979096426,84.43600867678958,381858.0,300,0.03155648347442609,84.26920738257654
서대문구,0.013553951769054745,0.0072992700729927005,0.014285714285714287,0.007917255351478157,0.0014643152734449619,93.71069182389937,50.0,100.0,48.653667595171775,79.6439628482972,322952.0,397,0.008904101350536969,83.24579717034939
서초구,0.055271959162119355,0.03649635036496351,0.02857142857142857,0.033081864953482795,0.0201608624604741,76.51515151515152,66.66666666666666,100.0,47.5012370113805,81.91440404970088,429025.0,420,0.03471649310249367,83.37763071878108
성동구,0.005808836472452034,0.014598540145985403,0.02857142857142857,0.006291152400501161,0.0,85.21739130434783,100.0,100.0,55.610236220472444,90.1880621422731,300505.0,461,0.011053991518073434,96.4501128914998
성북구,0.010561520859003696,0.014598540145985403,0.02142857142857143,0.005544744488577294,0.004392945820334882,85.2112676056338,66.66666666666666,100.0,58.70445344129555,86.7132867132867,447056.0,251,0.01130526454849454,88.90444957902638
송파구,0.036085196268262634,0.0875912408759124,0.03571428571428571,0.04395809452723056,0.03081428662379831,81.8815331010453,100.0,100.0,41.41622066694113,85.23364485981308,673926.0,235,0.04683262080189792,91.41871273365352
양천구,0.004752684386551662,0.014598540145985403,0.02857142857142857,0.019646522538853198,0.007618683814010738,82.56880733944955,100.0,100.0,47.33025708635465,80.27812895069533,457781.0,325,0.015037571891365915,91.78699883811288
영등포구,0.04101390600246435,0.03649635036496351,0.04285714285714285,0.03753365499960014,0.03136605759640075,80.0,83.33333333333334,57.14285714285714,43.55575868372944,79.85931136616068,407367.0,"1,213 ",0.03785342236411432,76.9539292775145
용산구,0.02605175145220912,0.03649635036496351,0.02857142857142857,0.008823607815957136,0.008361452430975577,80.8695652173913,100.0,60.0,48.064806480648066,82.06555349412493,244645.0,617,0.02166091812710678,83.02014410463846
은평구,0.015666255940855484,0.021897810218978103,0.02142857142857143,0.015754538426678753,0.01309394961906581,84.7953216374269,75.0,100.0,55.14223194748359,88.20652173913044,484043.0,288,0.017568225126829914,90.21316974928594
종로구,0.019362788241506775,0.043795620437956206,0.057142857142857134,0.010742942446618504,0.010356316716538274,100.0,100.0,77.77777777777779,79.7971259509721,89.30450029222676,158996.0,200,0.02828010499709538,100.0
중구,0.018306636155606407,0.029197080291970802,0.007142857142857143,0.022978700717084743,0.00749135205110248,68.81720430107528,100.0,100.0,52.557856272838,84.01015228426397,,,0.017023325271724316,90.71467810119717
중랑구,0.01777856011265622,0.029197080291970802,0.06428571428571428,0.01935329085916882,0.016956346427282953,83.60655737704919,100.0,90.0,59.030544488711826,85.26211671612265,399562.0,939,0.029514198395358616,93.51498744888842
합계,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,94.70761756029844,95.65217391304348,89.36170212765957,51.45849110803541,85.071570412047,,,1.0,93.14628317521318
